,1,2,3,4,5,6,7,8,9,10,Totals:
American Literature,7253,10721,11741,10515,9136,5126,4890,4379,3398,3146,70305
British Literature,7228,10688,11653,10522,9150,5165,4954,4448,3421,3160,70389
Classical Literature,7147,10530,11430,10280,8962,5103,4881,4386,3410,3165,69294
European Literature,7222,10629,11547,10371,9035,5118,4916,4411,3416,3162,69827
World Literature,7210,10598,11477,10303,9013,5178,4998,4461,3442,3197,69877
Other Literature,7225,10590,11444,10282,9005,5134,4930,4393,3407,3162,69572
American History,7393,10533,11316,10481,9239,5195,4793,4484,3556,3373,70363
Ancient History,7336,10349,11098,10149,8919,5258,4883,4561,3621,3453,69627
European History,7365,10472,11157,10277,9052,5332,5003,4659,3680,3477,70474
World History,7318,10397,11112,10237,9016,5267,4977,4622,3649,3449,70044
Other History,7239,10321,10979,10069,8879,5255,4891,4535,3555,3377,69100
Biology,6585,9600,9963,9290,7818,4218,4056,3854,2980,2777,61141
Chemistry,6643,9616,9988,9411,7919,4329,4161,3963,2988,2784,61802
Physics,6650,9561,9950,9373,7876,4331,4141,3998,2965,2780,61625
Math,6555,9480,10084,9335,7855,4161,3940,3721,2788,2624,60543
Other Science,6573,9443,9764,9281,7771,4152,3944,3793,2813,2668,60202
Visual Fine Arts,6454,9693,9748,9137,8151,4646,4440,3977,2987,2714,61947
Auditory Fine Arts,6489,9646,9811,9064,8063,4366,4213,3976,3100,2812,61540
Other Fine Arts,6088,9165,9138,8438,7509,4181,4016,3717,2780,2546,57578
Religion,5852,8730,8705,7740,6672,3524,3103,2968,2224,2092,51610
Mythology,6553,9569,9815,8779,7568,4121,3733,3568,2763,2586,59055
Philosophy,5177,7947,7705,6904,5959,3014,2819,2629,1860,1758,45772
Social Science,5297,7869,7843,6748,5765,2990,2841,2681,1925,1818,45777
Current Events,5372,7890,7607,6340,5501,2861,2608,2612,1973,1790,44554
Geography,6250,9237,9250,8021,7238,3946,3559,3383,2627,2423,55934
Other Academic,4996,7496,7195,5843,4888,2375,2126,2113,1515,1433,39980
Trash,5866,8329,8005,6858,5907,2991,2539,2440,1849,1755,46539
Totals:,177336,259099,269525,244048,211866,117337,110355,102732,78692,73481,1644471
